seed,variant,iteration,stability,mean_log_prob,stability_jsd,true_reject_rate,false_reject_rate
0,oea_full,0,0.9375,-6.060366,0.49451,0.74632,0.14496
0,oea_full,1,0.172855,-5.942166,0.461024,0.74632,0.14496
0,oea_full,2,0.130178,-5.872735,0.443134,0.74632,0.14496
0,oea_full,3,0.167678,-6.014859,0.486566,0.74632,0.14496
0,oea_full,4,0.1,-5.93247,0.478857,0.74632,0.14496
0,oea_full,5,0.155178,-6.017679,0.489091,0.74632,0.14496
0,oea_full,6,0.205178,-6.050131,0.485478,0.74632,0.14496
0,oea_full,7,0.1375,-6.03247,0.461418,0.74632,0.14496
0,oea_full,8,0.1375,-6.036598,0.497195,0.74632,0.14496
0,oea_full,9,0.153033,-6.091366,0.510361,0.74632,0.14496
0,oea_full,10,0.167678,-6.016022,0.460675,0.74632,0.14496
0,temperature_low,0,0.9375,-6.060366,0.49451,0.6052,0.2256
0,temperature_low,1,0.190533,-5.032281,0.429982,0.6052,0.2256
0,temperature_low,2,0.110355,-5.059255,0.415433,0.6052,0.2256
0,temperature_low,3,0.1125,-5.494172,0.458467,0.6052,0.2256
0,temperature_low,4,0.203033,-5.551289,0.425902,0.6052,0.2256
0,temperature_low,5,0.117678,-5.401262,0.433774,0.6052,0.2256
0,temperature_low,6,0.075,-5.189503,0.429791,0.6052,0.2256
0,temperature_low,7,0.197855,-5.129979,0.418697,0.6052,0.2256
0,temperature_low,8,0.117678,-5.358043,0.454054,0.6052,0.2256
0,temperature_low,9,0.178033,-5.405387,0.430782,0.6052,0.2256
0,temperature_low,10,0.110355,-5.132577,0.404184,0.6052,0.2256
0,top_k,0,0.9375,-6.060366,0.49451,0.6052,0.2256
0,top_k,1,0.172855,-6.006192,0.467388,0.6052,0.2256
0,top_k,2,0.172855,-5.849137,0.456705,0.6052,0.2256
0,top_k,3,0.15,-6.075454,0.50128,0.6052,0.2256
0,top_k,4,0.147855,-6.005718,0.50792,0.6052,0.2256
0,top_k,5,0.130178,-6.120172,0.527936,0.6052,0.2256
0,top_k,6,0.142678,-5.838014,0.45242,0.6052,0.2256
0,top_k,7,0.1,-5.999638,0.487018,0.6052,0.2256
0,top_k,8,0.155178,-6.013746,0.483763,0.6052,0.2256
0,top_k,9,0.130178,-6.152122,0.531258,0.6052,0.2256
0,top_k,10,0.140533,-5.869591,0.451612,0.6052,0.2256
0,entropy_filter,0,0.9375,-6.060366,0.49451,0.6304,0.2112
0,entropy_filter,1,0.172855,-5.942166,0.461024,0.6304,0.2112
0,entropy_filter,2,0.130178,-5.872735,0.443134,0.6304,0.2112
0,entropy_filter,3,0.167678,-6.014859,0.486566,0.6304,0.2112
0,entropy_filter,4,0.1,-5.93247,0.478857,0.6304,0.2112
0,entropy_filter,5,0.155178,-6.017679,0.489091,0.6304,0.2112
0,entropy_filter,6,0.205178,-6.050131,0.485478,0.6304,0.2112
0,entropy_filter,7,0.1375,-6.03247,0.461418,0.6304,0.2112
0,entropy_filter,8,0.1375,-6.036598,0.497195,0.6304,0.2112
0,entropy_filter,9,0.153033,-6.091366,0.510361,0.6304,0.2112
0,entropy_filter,10,0.167678,-6.016022,0.460675,0.6304,0.2112
0,repetition_penalty,0,0.9375,-6.060366,0.49451,0.6052,0.2256
0,repetition_penalty,1,0.230178,-6.090846,0.463949,0.6052,0.2256
0,repetition_penalty,2,0.228033,-6.014199,0.490072,0.6052,0.2256
0,repetition_penalty,3,0.1625,-6.130934,0.49958,0.6052,0.2256
0,repetition_penalty,4,0.172855,-6.040653,0.502692,0.6052,0.2256
0,repetition_penalty,5,0.162184,-6.126537,0.509526,0.6052,0.2256
0,repetition_penalty,6,0.130178,-6.025038,0.461879,0.6052,0.2256
0,repetition_penalty,7,0.190533,-6.067817,0.495877,0.6052,0.2256
0,repetition_penalty,8,0.219506,-6.074594,0.490349,0.6052,0.2256
0,repetition_penalty,9,0.222855,-6.116045,0.514219,0.6052,0.2256
0,repetition_penalty,10,0.1125,-6.104701,0.4853,0.6052,0.2256
0,rag_only,0,0.9375,-6.060366,0.49451,0.59008,0.23424
0,rag_only,1,0.130178,-4.995451,0.398178,0.59008,0.23424
0,rag_only,2,0.153033,-4.993525,0.402598,0.59008,0.23424
0,rag_only,3,0.165533,-4.818752,0.382057,0.59008,0.23424
0,rag_only,4,0.147855,-4.937365,0.404511,0.59008,0.23424
0,rag_only,5,0.180178,-4.985093,0.409122,0.59008,0.23424
0,rag_only,6,0.117678,-4.959407,0.400636,0.59008,0.23424
0,rag_only,7,0.172855,-4.898347,0.40723,0.59008,0.23424
0,rag_only,8,0.130178,-4.93151,0.411502,0.59008,0.23424
0,rag_only,9,0.195711,-4.958758,0.39104,0.59008,0.23424
0,rag_only,10,0.130178,-5.014444,0.415022,0.59008,0.23424
1,oea_full,0,0.993119,-6.052329,0.489694,0.74632,0.14496
1,oea_full,1,0.210355,-6.058354,0.486962,0.74632,0.14496
1,oea_full,2,0.205178,-6.07529,0.48984,0.74632,0.14496
1,oea_full,3,0.140533,-6.093747,0.522709,0.74632,0.14496
1,oea_full,4,0.142678,-6.024333,0.502731,0.74632,0.14496
1,oea_full,5,0.1875,-6.029142,0.490317,0.74632,0.14496
1,oea_full,6,0.212184,-5.982933,0.477701,0.74632,0.14496
1,oea_full,7,0.1,-6.032626,0.490993,0.74632,0.14496
1,oea_full,8,0.233211,-5.942435,0.456389,0.74632,0.14496
1,oea_full,9,0.110355,-6.061339,0.520357,0.74632,0.14496
1,oea_full,10,0.130178,-5.940942,0.47142,0.74632,0.14496
1,temperature_low,0,0.993119,-6.052329,0.489694,0.6052,0.2256
1,temperature_low,1,0.205178,-5.514572,0.440653,0.6052,0.2256
1,temperature_low,2,0.128474,-5.055041,0.393021,0.6052,0.2256
1,temperature_low,3,0.148479,-4.832796,0.3892,0.6052,0.2256
1,temperature_low,4,0.130619,-5.11013,0.405353,0.6052,0.2256
1,temperature_low,5,0.116357,-4.806459,0.382775,0.6052,0.2256
1,temperature_low,6,0.169506,-5.42887,0.418735,0.6052,0.2256
1,temperature_low,7,0.220711,-5.624069,0.450932,0.6052,0.2256
