seed,variant,step,entity_retention,semantic_drift,hallucination_proxy,vocab_collapse
0,uncontrolled,0,0.15565,0.512399,0.0,0.9125
0,uncontrolled,1,0.153518,0.472784,0.0,0.9
0,uncontrolled,2,0.15565,0.492207,0.0,0.9125
0,uncontrolled,3,0.159915,0.496494,0.0,0.9375
0,uncontrolled,4,0.15565,0.477931,0.0,0.9125
0,uncontrolled,5,0.157783,0.493511,0.0,0.925
0,uncontrolled,6,0.164179,0.500726,0.0,0.9625
0,uncontrolled,7,0.15565,0.481186,0.0,0.9125
0,uncontrolled,8,0.162047,0.484285,0.0,0.95
0,uncontrolled,9,0.153518,0.494005,0.0,0.9
0,uncontrolled,10,0.164179,0.530728,0.0,0.9625
0,uncontrolled,11,0.157783,0.491262,0.0,0.925
0,uncontrolled,12,0.157783,0.511694,0.0,0.925
0,uncontrolled,13,0.153518,0.49727,0.0,0.9
0,uncontrolled,14,0.15565,0.475972,0.0,0.9125
0,uncontrolled,15,0.147122,0.528783,0.0,0.8625
0,uncontrolled,16,0.162047,0.463127,0.0,0.95
0,uncontrolled,17,0.15565,0.515187,0.0,0.9125
0,uncontrolled,18,0.157783,0.480005,0.0,0.925
0,uncontrolled,19,0.151386,0.487517,0.0,0.8875
0,uncontrolled,20,0.157783,0.513305,0.0,0.925
0,uncontrolled,21,0.144989,0.537373,0.0,0.85
0,uncontrolled,22,0.15565,0.492214,0.0,0.9125
0,uncontrolled,23,0.157783,0.502534,0.0,0.925
0,uncontrolled,24,0.153518,0.458971,0.0,0.9
0,uncontrolled,25,0.157783,0.495284,0.0,0.925
0,uncontrolled,26,0.15565,0.492414,0.0,0.9125
0,uncontrolled,27,0.162047,0.496921,0.0,0.95
0,uncontrolled,28,0.151386,0.512015,0.0,0.8875
0,uncontrolled,29,0.151386,0.500104,0.0,0.8875
0,uncontrolled,30,0.15565,0.516905,0.0,0.9125
0,oea_controlled,0,0.15565,0.488789,0.0,0.9125
0,oea_controlled,1,0.162047,0.458062,0.0,0.95
0,oea_controlled,2,0.159915,0.506268,0.0,0.9375
0,oea_controlled,3,0.153518,0.498536,0.0,0.9
0,oea_controlled,4,0.15565,0.50778,0.0,0.9125
0,oea_controlled,5,0.159915,0.460703,0.0,0.9375
0,oea_controlled,6,0.153518,0.514064,0.0,0.9
0,oea_controlled,7,0.15565,0.47836,0.0,0.9125
0,oea_controlled,8,0.15565,0.462152,0.0,0.9125
0,oea_controlled,9,0.153518,0.468531,0.0,0.9
0,oea_controlled,10,0.162047,0.475915,0.0,0.95
0,oea_controlled,11,0.159915,0.472105,0.0,0.9375
0,oea_controlled,12,0.162047,0.504076,0.0,0.95
0,oea_controlled,13,0.153518,0.453235,0.0,0.9
0,oea_controlled,14,0.157783,0.482352,0.0,0.925
0,oea_controlled,15,0.162047,0.455256,0.0,0.95
0,oea_controlled,16,0.15565,0.486832,0.0,0.9125
0,oea_controlled,17,0.15565,0.470343,0.0,0.9125
0,oea_controlled,18,0.157783,0.465564,0.0,0.925
0,oea_controlled,19,0.15565,0.501228,0.0,0.9125
0,oea_controlled,20,0.15565,0.485204,0.0,0.9125
0,oea_controlled,21,0.159915,0.484377,0.0,0.9375
0,oea_controlled,22,0.166311,0.487067,0.0,0.975
0,oea_controlled,23,0.157783,0.501442,0.0,0.925
0,oea_controlled,24,0.15565,0.509851,0.0,0.9125
0,oea_controlled,25,0.159915,0.499605,0.0,0.9375
0,oea_controlled,26,0.153518,0.503111,0.0,0.9
0,oea_controlled,27,0.151386,0.476354,0.0,0.8875
0,oea_controlled,28,0.157783,0.507038,0.0,0.925
0,oea_controlled,29,0.15565,0.456067,0.0,0.9125
0,oea_controlled,30,0.162047,0.497687,0.0,0.95
1,uncontrolled,0,0.153518,0.520955,0.0,0.9
1,uncontrolled,1,0.15565,0.507472,0.0,0.9125
1,uncontrolled,2,0.147122,0.53118,0.0,0.8625
1,uncontrolled,3,0.149254,0.4563,0.0,0.875
1,uncontrolled,4,0.162047,0.481635,0.0,0.95
1,uncontrolled,5,0.147122,0.510365,0.0,0.8625
1,uncontrolled,6,0.157783,0.461802,0.0,0.925
1,uncontrolled,7,0.15565,0.487415,0.0,0.9125
1,uncontrolled,8,0.153518,0.462279,0.0,0.9
1,uncontrolled,9,0.15565,0.499255,0.0,0.9125
1,uncontrolled,10,0.153518,0.528381,0.0,0.9
1,uncontrolled,11,0.159915,0.496102,0.0,0.9375
1,uncontrolled,12,0.164179,0.462202,0.0,0.9625
1,uncontrolled,13,0.164179,0.492126,0.0,0.9625
1,uncontrolled,14,0.162047,0.47243,0.0,0.95
1,uncontrolled,15,0.151386,0.509868,0.0,0.8875
1,uncontrolled,16,0.159915,0.457594,0.0,0.9375
1,uncontrolled,17,0.157783,0.477445,0.0,0.925
1,uncontrolled,18,0.151386,0.497393,0.0,0.8875
1,uncontrolled,19,0.147122,0.500496,0.0,0.8625
1,uncontrolled,20,0.159915,0.484316,0.0,0.9375
1,uncontrolled,21,0.153518,0.482649,0.0,0.9
1,uncontrolled,22,0.15565,0.510911,0.0,0.9125
1,uncontrolled,23,0.153518,0.512756,0.0,0.9
1,uncontrolled,24,0.153518,0.462959,0.0,0.9
1,uncontrolled,25,0.151386,0.490044,0.0,0.8875
1,uncontrolled,26,0.157783,0.511996,0.0,0.925
1,uncontrolled,27,0.164179,0.473634,0.0,0.9625
1,uncontrolled,28,0.164179,0.498807,0.0,0.9625
1,uncontrolled,29,0.159915,0.461683,0.0,0.9375
1,uncontrolled,30,0.15565,0.522976,0.0,0.9125
1,oea_controlled,0,0.15565,0.508264,0.0,0.9125
1,oea_controlled,1,0.151386,0.489813,0.0,0.8875
1,oea_controlled,2,0.159915,0.468955,0.0,0.9375
1,oea_controlled,3,0.153518,0.49396,0.0,0.9
1,oea_controlled,4,0.147122,0.49291,0.0,0.8625
1,oea_controlled,5,0.162047,0.48344,0.0,0.95
1,oea_controlled,6,0.166311,0.448602,0.0,0.975
1,oea_controlled,7,0.157783,0.468623,0.0,0.925
1,oea_controlled,8,0.157783,0.461503,0.0,0.925
1,oea_controlled,9,0.149254,0.457438,0.0,0.875
1,oea_controlled,10,0.153518,0.421561,0.0,0.9
1,oea_controlled,11,0.157783,0.48224,0.0,0.925
1,oea_controlled,12,0.164179,0.489088,0.0,0.9625
1,oea_controlled,13,0.162047,0.461972,0.0,0.95
1,oea_controlled,14,0.162047,0.488789,0.0,0.95
1,oea_controlled,15,0.157783,0.480402,0.0,0.925
1,oea_controlled,16,0.149254,0.494413,0.0,0.875
1,oea_controlled,17,0.151386,0.486535,0.0,0.8875
1,oea_controlled,18,0.151386,0.476825,0.0,0.8875
1,oea_controlled,19,0.138593,0.50848,0.0,0.8125
1,oea_controlled,20,0.159915,0.480123,0.0,0.9375
1,oea_controlled,21,0.159915,0.494611,0.0,0.9375
1,oea_controlled,22,0.15565,0.48049,0.0,0.9125
1,oea_controlled,23,0.157783,0.495605,0.0,0.925
1,oea_controlled,24,0.149254,0.518534,0.0,0.875
1,oea_controlled,25,0.162047,0.48169,0.0,0.95
1,oea_controlled,26,0.157783,0.498551,0.0,0.925
1,oea_controlled,27,0.151386,0.47501,0.0,0.8875
1,oea_controlled,28,0.159915,0.480313,0.0,0.9375
1,oea_controlled,29,0.162047,0.444001,0.0,0.95
1,oea_controlled,30,0.153518,0.505833,0.0,0.9
2,uncontrolled,0,0.157783,0.507827,0.0,0.925
2,uncontrolled,1,0.151386,0.482835,0.0,0.8875
2,uncontrolled,2,0.15565,0.504524,0.0,0.9125
2,uncontrolled,3,0.159915,0.443633,0.0,0.9375
2,uncontrolled,4,0.157783,0.498044,0.0,0.925
2,uncontrolled,5,0.15565,0.505073,0.0,0.9125
2,uncontrolled,6,0.151386,0.498108,0.0,0.8875
2,uncontrolled,7,0.15565,0.495245,0.0,0.9125
2,uncontrolled,8,0.157783,0.450266,0.0,0.925
2,uncontrolled,9,0.15565,0.509015,0.0,0.9125
2,uncontrolled,10,0.159915,0.48872,0.0,0.9375
2,uncontrolled,11,0.164179,0.477,0.0,0.9625
2,uncontrolled,12,0.159915,0.484145,0.0,0.9375
2,uncontrolled,13,0.159915,0.507743,0.0,0.9375
2,uncontrolled,14,0.153518,0.467557,0.0,0.9
2,uncontrolled,15,0.15565,0.504889,0.0,0.9125
2,uncontrolled,16,0.149254,0.493224,0.0,0.875
2,uncontrolled,17,0.153518,0.512134,0.0,0.9
2,uncontrolled,18,0.162047,0.49563,0.0,0.95
2,uncontrolled,19,0.157783,0.474434,0.0,0.925
2,uncontrolled,20,0.15565,0.516793,0.0,0.9125
2,uncontrolled,21,0.15565,0.49234,0.0,0.9125
2,uncontrolled,22,0.157783,0.493728,0.0,0.925
2,uncontrolled,23,0.157783,0.504081,0.0,0.925
2,uncontrolled,24,0.159915,0.471562,0.0,0.9375
2,uncontrolled,25,0.147122,0.49223,0.0,0.8625
2,uncontrolled,26,0.162047,0.509122,0.0,0.95
2,uncontrolled,27,0.157783,0.477962,0.0,0.925
2,uncontrolled,28,0.15565,0.455941,0.0,0.9125
2,uncontrolled,29,0.157783,0.47833,0.0,0.925
2,uncontrolled,30,0.15565,0.495842,0.0,0.9125
2,oea_controlled,0,0.149254,0.483146,0.0,0.875
2,oea_controlled,1,0.151386,0.49351,0.0,0.8875
2,oea_controlled,2,0.15565,0.465902,0.0,0.9125
2,oea_controlled,3,0.164179,0.493711,0.0,0.9625
2,oea_controlled,4,0.157783,0.439783,0.0,0.925
2,oea_controlled,5,0.153518,0.487529,0.0,0.9
2,oea_controlled,6,0.162047,0.490592,0.0,0.95
2,oea_controlled,7,0.144989,0.480394,0.0,0.85
2,oea_controlled,8,0.157783,0.49571,0.0,0.925
2,oea_controlled,9,0.162047,0.496164,0.0,0.95
2,oea_controlled,10,0.15565,0.495933,0.0,0.9125
2,oea_controlled,11,0.157783,0.452956,0.0,0.925
2,oea_controlled,12,0.153518,0.464776,0.0,0.9
2,oea_controlled,13,0.15565,0.468162,0.0,0.9125
2,oea_controlled,14,0.157783,0.481213,0.0,0.925
2,oea_controlled,15,0.15565,0.502805,0.0,0.9125
2,oea_controlled,16,0.157783,0.511517,0.0,0.925
2,oea_controlled,17,0.157783,0.493639,0.0,0.925
2,oea_controlled,18,0.162047,0.478495,0.0,0.95
2,oea_controlled,19,0.157783,0.451118,0.0,0.925
2,oea_controlled,20,0.162047,0.452196,0.0,0.95
2,oea_controlled,21,0.15565,0.492226,0.0,0.9125
2,oea_controlled,22,0.162047,0.478584,0.0,0.95
2,oea_controlled,23,0.15565,0.504244,0.0,0.9125
2,oea_controlled,24,0.157783,0.505549,0.0,0.925
2,oea_controlled,25,0.162047,0.467436,0.0,0.95
2,oea_controlled,26,0.157783,0.486196,0.0,0.925
2,oea_controlled,27,0.157783,0.471542,0.0,0.925
2,oea_controlled,28,0.147122,0.485241,0.0,0.8625
2,oea_controlled,29,0.164179,0.476859,0.0,0.9625
2,oea_controlled,30,0.157783,0.492175,0.0,0.925
3,uncontrolled,0,0.159915,0.493855,0.0,0.9375
3,uncontrolled,1,0.159915,0.492139,0.0,0.9375
3,uncontrolled,2,0.153518,0.483479,0.0,0.9
3,uncontrolled,3,0.157783,0.51239,0.0,0.925
3,uncontrolled,4,0.157783,0.499124,0.0,0.925
3,uncontrolled,5,0.159915,0.484581,0.0,0.9375
3,uncontrolled,6,0.15565,0.460051,0.0,0.9125
3,uncontrolled,7,0.15565,0.507748,0.0,0.9125
3,uncontrolled,8,0.153518,0.523628,0.0,0.9
3,uncontrolled,9,0.149254,0.534327,0.0,0.875
3,uncontrolled,10,0.157783,0.485459,0.0,0.925
3,uncontrolled,11,0.15565,0.480761,0.0,0.9125
3,uncontrolled,12,0.15565,0.500537,0.0,0.9125
3,uncontrolled,13,0.157783,0.509286,0.0,0.925
3,uncontrolled,14,0.15565,0.494411,0.0,0.9125
3,uncontrolled,15,0.162047,0.511182,0.0,0.95
3,uncontrolled,16,0.157783,0.524697,0.0,0.925
3,uncontrolled,17,0.162047,0.486639,0.0,0.95
3,uncontrolled,18,0.15565,0.529092,0.0,0.9125
3,uncontrolled,19,0.157783,0.479579,0.0,0.925
3,uncontrolled,20,0.157783,0.490733,0.0,0.925
3,uncontrolled,21,0.159915,0.455873,0.0,0.9375
3,uncontrolled,22,0.159915,0.448529,0.0,0.9375
3,uncontrolled,23,0.164179,0.499075,0.0,0.9625
3,uncontrolled,24,0.151386,0.535557,0.0,0.8875
3,uncontrolled,25,0.162047,0.493283,0.0,0.95
3,uncontrolled,26,0.166311,0.532852,0.0,0.975
3,uncontrolled,27,0.153518,0.50271,0.0,0.9
3,uncontrolled,28,0.15565,0.47797,0.0,0.9125
3,uncontrolled,29,0.15565,0.512453,0.0,0.9125
3,uncontrolled,30,0.157783,0.521366,0.0,0.925
3,oea_controlled,0,0.149254,0.486495,0.0,0.875
3,oea_controlled,1,0.157783,0.499739,0.0,0.925
3,oea_controlled,2,0.15565,0.481394,0.0,0.9125
3,oea_controlled,3,0.159915,0.466518,0.0,0.9375
3,oea_controlled,4,0.15565,0.47579,0.0,0.9125
3,oea_controlled,5,0.159915,0.480094,0.0,0.9375
3,oea_controlled,6,0.153518,0.500012,0.0,0.9
3,oea_controlled,7,0.153518,0.455424,0.0,0.9
3,oea_controlled,8,0.144989,0.495601,0.0,0.85
3,oea_controlled,9,0.151386,0.488525,0.0,0.8875
3,oea_controlled,10,0.157783,0.462726,0.0,0.925
3,oea_controlled,11,0.159915,0.500929,0.0,0.9375
3,oea_controlled,12,0.164179,0.471404,0.0,0.9625
3,oea_controlled,13,0.140725,0.486223,0.0,0.825
3,oea_controlled,14,0.153518,0.460829,0.0,0.9
3,oea_controlled,15,0.162047,0.475,0.0,0.95
3,oea_controlled,16,0.157783,0.470742,0.0,0.925
3,oea_controlled,17,0.15565,0.470537,0.0,0.9125
3,oea_controlled,18,0.157783,0.508154,0.0,0.925
3,oea_controlled,19,0.166311,0.462811,0.0,0.975
3,oea_controlled,20,0.157783,0.4461,0.0,0.925
3,oea_controlled,21,0.153518,0.467968,0.0,0.9
3,oea_controlled,22,0.15565,0.483868,0.0,0.9125
3,oea_controlled,23,0.157783,0.43666,0.0,0.925
3,oea_controlled,24,0.157783,0.481887,0.0,0.925
3,oea_controlled,25,0.159915,0.478915,0.0,0.9375
3,oea_controlled,26,0.159915,0.495426,0.0,0.9375
3,oea_controlled,27,0.157783,0.511177,0.0,0.925
3,oea_controlled,28,0.159915,0.460229,0.0,0.9375
3,oea_controlled,29,0.157783,0.513879,0.0,0.925
3,oea_controlled,30,0.147122,0.485425,0.0,0.8625
4,uncontrolled,0,0.149254,0.516745,0.0,0.875
4,uncontrolled,1,0.164179,0.469273,0.0,0.9625
4,uncontrolled,2,0.159915,0.473258,0.0,0.9375
4,uncontrolled,3,0.153518,0.528357,0.0,0.9
4,uncontrolled,4,0.159915,0.506274,0.0,0.9375
4,uncontrolled,5,0.157783,0.514237,0.0,0.925
4,uncontrolled,6,0.149254,0.463043,0.0,0.875
4,uncontrolled,7,0.151386,0.451445,0.0,0.8875
4,uncontrolled,8,0.142857,0.503615,0.0,0.8375
4,uncontrolled,9,0.170576,0.49829,0.0,1.0
4,uncontrolled,10,0.151386,0.515775,0.0,0.8875
4,uncontrolled,11,0.157783,0.508874,0.0,0.925
