seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
0,control,0,0.0,-3.3608,0.525,0.125,0.1661
0,control,1,0.034686,-3.1751,0.5875,0.0875,0.1411
0,control,2,0.060623,-2.9305,0.3875,0.0375,0.1129
0,control,3,0.083655,-2.3594,0.6625,0.05,0.0893
0,control,4,0.108091,-2.0605,0.3875,0.05,0.0627
0,control,5,0.159807,-1.8282,0.6,0.075,0.0658
0,control,6,0.234408,-1.6018,0.575,0.075,0.0666
0,control,7,0.315267,-1.1786,0.5875,0.05,0.0666
0,control,8,0.39402,-0.9637,0.5875,0.05,0.0682
0,control,9,0.444168,-0.6225,0.5875,0.05,0.069
0,control,10,0.476386,-0.1921,0.5875,0.05,0.069
0,oea_rag_only,0,0.0,-3.3608,0.525,0.125,0.1661
0,oea_rag_only,1,0.040839,-3.1413,0.55,0.05,0.1426
0,oea_rag_only,2,0.06254,-2.8513,0.5875,0.0125,0.1183
0,oea_rag_only,3,0.087784,-2.4304,0.625,0.0875,0.0886
0,oea_rag_only,4,0.113792,-2.1814,0.375,0.0375,0.0564
0,oea_rag_only,5,0.160245,-2.3077,0.4,0.05,0.0549
0,oea_rag_only,6,0.225929,-2.3597,0.7125,0.0625,0.058
0,oea_rag_only,7,0.29221,-2.3358,0.4625,0.05,0.0564
0,oea_rag_only,8,0.351553,-2.2892,0.5875,0.0625,0.0564
0,oea_rag_only,9,0.373925,-2.2523,0.5875,0.0625,0.0596
0,oea_rag_only,10,0.381571,-2.2999,0.5125,0.0625,0.0556
0,oea_anchored,0,0.0,-3.3608,0.525,0.125,0.1661
0,oea_anchored,1,0.007073,-3.6278,0.625,0.0625,0.156
0,oea_anchored,2,0.028142,-3.2016,0.7,0.0625,0.127
0,oea_anchored,3,0.056593,-2.4994,0.7125,0.05,0.098
0,oea_anchored,4,0.079157,-1.7055,0.675,0.025,0.0658
0,oea_anchored,5,0.10576,-0.9844,0.65,0.05,0.0415
0,oea_anchored,6,0.169269,-0.5359,0.625,0.0875,0.0329
0,oea_anchored,7,0.243788,-0.5408,0.6875,0.05,0.0337
0,oea_anchored,8,0.323288,-0.5187,0.675,0.0625,0.0306
0,oea_anchored,9,0.398592,-0.5068,0.5875,0.025,0.029
0,oea_anchored,10,0.449401,-0.4745,0.7,0.05,0.0282
0,oea_miscalibrated,0,0.0,-3.3608,0.525,0.125,0.1661
0,oea_miscalibrated,1,0.027946,-3.1992,0.5875,0.05,0.1434
0,oea_miscalibrated,2,0.053195,-3.0117,0.6625,0.0625,0.1152
0,oea_miscalibrated,3,0.081297,-2.7555,0.35,0.0625,0.0846
0,oea_miscalibrated,4,0.106136,-2.4624,0.6125,0.05,0.0509
0,oea_miscalibrated,5,0.151494,-2.3386,0.1625,0.125,0.0431
0,oea_miscalibrated,6,0.216431,-2.3,0.6875,0.0125,0.0447
0,oea_miscalibrated,7,0.272916,-2.3943,0.525,0.0625,0.047
0,oea_miscalibrated,8,0.334964,-2.5231,0.5375,0.025,0.0533
0,oea_miscalibrated,9,0.369278,-2.5767,0.6,0.0625,0.058
0,oea_miscalibrated,10,0.382266,-2.4953,0.525,0.0875,0.0556
1,control,0,0.0,-3.3608,0.525,0.125,0.1661
1,control,1,0.032303,-3.1556,0.625,0.05,0.1395
1,control,2,0.063396,-2.8636,0.5875,0.0125,0.1058
1,control,3,0.091227,-2.3843,0.6875,0.05,0.0729
1,control,4,0.109839,-2.0416,0.4875,0.0125,0.0439
1,control,5,0.160815,-1.7041,0.525,0.0125,0.0392
1,control,6,0.226741,-1.3604,0.6,0.05,0.04
1,control,7,0.281535,-1.3232,0.5625,0.0375,0.0423
1,control,8,0.349506,-1.1115,0.725,0.0375,0.0415
1,control,9,0.39952,-0.9671,0.675,0.0375,0.0353
1,control,10,0.42417,-0.8491,0.7875,0.0375,0.0337
1,oea_rag_only,0,0.0,-3.3608,0.525,0.125,0.1661
1,oea_rag_only,1,0.026892,-3.1858,0.725,0.1,0.1395
1,oea_rag_only,2,0.049754,-2.8896,0.625,0.0625,0.1082
1,oea_rag_only,3,0.067287,-2.5195,0.6875,0.0875,0.0792
1,oea_rag_only,4,0.083375,-2.3199,0.5375,0.025,0.0517
1,oea_rag_only,5,0.121623,-2.2506,0.725,0.1,0.0533
1,oea_rag_only,6,0.173582,-2.1444,0.6875,0.0625,0.0588
1,oea_rag_only,7,0.227086,-2.1998,0.5,0.0375,0.0564
1,oea_rag_only,8,0.284956,-2.1489,0.65,0.0625,0.0533
1,oea_rag_only,9,0.318875,-2.1198,0.4875,0.1,0.0502
