seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
0,control,0,0.0,-1.5864,0.6875,0.025,0.1755
0,control,1,0.027676,-1.9695,0.9,0.05,0.1528
0,control,2,0.059365,-1.9566,0.825,0.125,0.1223
0,control,3,0.07632,-1.7265,0.7125,0.1,0.0909
0,control,4,0.094695,-1.6791,0.925,0.0625,0.0541
0,control,5,0.137675,-1.7211,0.85,0.0625,0.0478
0,control,6,0.195953,-1.5386,0.875,0.125,0.0502
0,control,7,0.257269,-1.5176,0.9,0.1,0.047
0,control,8,0.313055,-1.5538,0.9375,0.0875,0.0486
0,control,9,0.355043,-1.542,0.625,0.05,0.0447
0,control,10,0.365822,-1.2859,0.825,0.075,0.047
0,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
0,oea_rag_only,1,0.035539,-2.0003,0.8,0.0375,0.1536
0,oea_rag_only,2,0.05954,-2.1199,0.75,0.0625,0.1262
0,oea_rag_only,3,0.087558,-1.8754,0.8,0.0375,0.0933
0,oea_rag_only,4,0.10357,-1.8359,0.825,0.0625,0.0596
0,oea_rag_only,5,0.150596,-1.8294,0.8625,0.05,0.0541
0,oea_rag_only,6,0.212314,-1.6672,0.8125,0.025,0.0494
0,oea_rag_only,7,0.272537,-1.5235,0.675,0.075,0.0462
0,oea_rag_only,8,0.284705,-1.3168,0.7125,0.125,0.0502
0,oea_rag_only,9,0.312387,-1.6056,0.8625,0.1125,0.0564
0,oea_rag_only,10,0.309924,-1.6434,0.8625,0.1125,0.0666
0,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
0,oea_anchored,1,0.006127,-2.3596,0.9375,0.0625,0.1646
0,oea_anchored,2,0.014155,-2.4497,0.925,0.0875,0.145
0,oea_anchored,3,0.02717,-2.4137,0.625,0.05,0.1199
0,oea_anchored,4,0.041925,-2.024,0.8125,0.1125,0.0933
0,oea_anchored,5,0.058476,-1.7649,0.8375,0.0875,0.0729
0,oea_anchored,6,0.115594,-1.1437,0.7875,0.1,0.065
0,oea_anchored,7,0.124481,-1.3954,0.9375,0.0875,0.0674
0,oea_anchored,8,0.190952,-0.7676,0.7875,0.075,0.058
0,oea_anchored,9,0.268228,-0.6634,0.3625,0.0625,0.0494
0,oea_anchored,10,0.320629,-0.7636,0.3625,0.0625,0.04
0,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
0,oea_miscalibrated,1,0.035539,-2.0003,0.8,0.0375,0.1536
0,oea_miscalibrated,2,0.05954,-2.1199,0.75,0.0625,0.1262
0,oea_miscalibrated,3,0.079366,-1.9721,0.8625,0.0625,0.094
0,oea_miscalibrated,4,0.093279,-2.1069,0.9125,0.075,0.0596
0,oea_miscalibrated,5,0.113969,-2.2619,0.15,0.0125,0.0478
0,oea_miscalibrated,6,0.151173,-2.3012,0.875,0.025,0.0533
0,oea_miscalibrated,7,0.219406,-2.2136,0.9125,0.0875,0.0509
0,oea_miscalibrated,8,0.280932,-2.0483,0.4125,0.0375,0.047
0,oea_miscalibrated,9,0.285954,-2.0896,0.0875,0.025,0.0478
0,oea_miscalibrated,10,0.344024,-1.9293,0.85,0.0625,0.0431
1,control,0,0.0,-1.5864,0.6875,0.025,0.1755
1,control,1,0.040796,-1.8511,0.825,0.0875,0.1567
1,control,2,0.074265,-1.9308,0.7375,0.075,0.1238
1,control,3,0.099725,-1.6884,0.825,0.0375,0.0964
1,control,4,0.121161,-1.7782,0.225,0.05,0.058
1,control,5,0.168521,-2.2161,0.925,0.1125,0.0517
1,control,6,0.235089,-2.24,0.8625,0.0875,0.0572
1,control,7,0.303472,-2.1309,0.825,0.025,0.0572
1,control,8,0.355515,-2.2206,0.85,0.05,0.0643
1,control,9,0.39001,-2.077,0.8,0.05,0.0627
1,control,10,0.385901,-1.9798,0.7375,0.025,0.0635
1,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
1,oea_rag_only,1,0.034886,-1.9122,0.8875,0.1125,0.1497
1,oea_rag_only,2,0.053575,-2.0154,0.9125,0.025,0.1246
1,oea_rag_only,3,0.074191,-1.6873,0.8625,0.0625,0.0964
1,oea_rag_only,4,0.089305,-1.5965,0.425,0.025,0.0611
1,oea_rag_only,5,0.125078,-1.7799,0.825,0.0625,0.0533
1,oea_rag_only,6,0.168304,-1.5829,0.85,0.05,0.0588
1,oea_rag_only,7,0.217248,-1.6158,0.8375,0.05,0.0572
1,oea_rag_only,8,0.260257,-1.6657,0.8375,0.075,0.0572
1,oea_rag_only,9,0.289258,-1.7501,0.825,0.075,0.0564
1,oea_rag_only,10,0.298373,-1.6882,0.775,0.05,0.0603
1,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
1,oea_anchored,1,0.005718,-2.3914,0.9375,0.0875,0.1638
1,oea_anchored,2,0.014163,-2.417,0.925,0.1,0.1481
1,oea_anchored,3,0.025708,-2.605,0.9,0.0375,0.1317
1,oea_anchored,4,0.044395,-2.3591,0.875,0.0375,0.1066
1,oea_anchored,5,0.061255,-2.1935,0.775,0.0625,0.0752
1,oea_anchored,6,0.09518,-1.8414,0.8375,0.0375,0.0721
1,oea_anchored,7,0.166876,-1.5878,0.8,0.0625,0.069
1,oea_anchored,8,0.243298,-1.1295,0.7125,0.0625,0.0666
1,oea_anchored,9,0.3237,-0.8366,0.7375,0.0875,0.0658
1,oea_anchored,10,0.366565,-0.5525,0.725,0.05,0.065
1,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
1,oea_miscalibrated,1,0.035964,-2.0122,0.8625,0.0375,0.1497
1,oea_miscalibrated,2,0.05854,-2.1333,0.8625,0.075,0.1199
1,oea_miscalibrated,3,0.081522,-1.9879,0.8375,0.05,0.0917
1,oea_miscalibrated,4,0.095727,-2.0526,0.8625,0.0625,0.0564
1,oea_miscalibrated,5,0.134914,-2.1433,0.8875,0.1,0.0478
1,oea_miscalibrated,6,0.18597,-2.2633,0.9,0.1125,0.0502
1,oea_miscalibrated,7,0.247982,-2.2894,0.85,0.0375,0.0494
1,oea_miscalibrated,8,0.2976,-2.3475,0.875,0.0875,0.0525
1,oea_miscalibrated,9,0.335711,-2.4056,0.8375,0.1375,0.0517
1,oea_miscalibrated,10,0.332999,-2.4348,0.8125,0.0875,0.0541
2,control,0,0.0,-1.5864,0.6875,0.025,0.1755
2,control,1,0.037304,-1.9875,0.8125,0.075,0.1505
