seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
0,control,0,0.0,-3.7085,0.625,0.0625
0,control,1,0.029901,-3.4563,0.5125,0.075
0,control,2,0.057419,-3.2078,0.65,0.075
0,control,3,0.077913,-2.6151,0.5875,0.05
0,control,4,0.098563,-1.9664,0.55,0.0625
0,control,5,0.150035,-1.4855,0.5125,0.025
0,control,6,0.217537,-1.1398,0.525,0.025
0,control,7,0.294469,-0.6709,0.5125,0.025
0,control,8,0.374555,-0.5352,0.775,0.0375
0,control,9,0.428852,-0.3557,0.3,0.0
0,control,10,0.464132,-0.328,0.675,0.0625
0,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
0,oea_rag_only,1,0.033664,-3.4772,0.65,0.0625
0,oea_rag_only,2,0.058209,-3.0111,0.5625,0.0625
0,oea_rag_only,3,0.078947,-2.4934,0.5,0.0375
0,oea_rag_only,4,0.096472,-1.9494,0.525,0.15
0,oea_rag_only,5,0.141077,-1.7363,0.625,0.05
0,oea_rag_only,6,0.207269,-1.5813,0.4625,0.1
0,oea_rag_only,7,0.273425,-1.3192,0.6,0.05
0,oea_rag_only,8,0.337265,-1.1642,0.325,0.025
0,oea_rag_only,9,0.377232,-1.2356,0.625,0.0375
0,oea_rag_only,10,0.395745,-1.1214,0.55,0.075
0,oea_anchored,0,0.0,-3.7085,0.625,0.0625
0,oea_anchored,1,0.006069,-3.9323,0.75,0.0375
0,oea_anchored,2,0.02371,-3.382,0.6375,0.025
0,oea_anchored,3,0.047189,-2.9369,0.6375,0.025
0,oea_anchored,4,0.067317,-2.3739,0.5875,0.0125
0,oea_anchored,5,0.090753,-1.5306,0.25,0.0
0,oea_anchored,6,0.14291,-1.0852,0.2125,0.0
0,oea_anchored,7,0.21665,-0.4742,0.2125,0.0
0,oea_anchored,8,0.30146,-0.2218,0.2125,0.0
0,oea_anchored,9,0.394837,-0.1404,0.2125,0.0
0,oea_anchored,10,0.486319,-0.1404,0.2125,0.0
0,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
0,oea_miscalibrated,1,0.033664,-3.4772,0.65,0.0625
0,oea_miscalibrated,2,0.065433,-3.1544,0.55,0.075
0,oea_miscalibrated,3,0.094761,-2.7092,0.7375,0.0625
0,oea_miscalibrated,4,0.107845,-2.5225,0.0875,0.025
0,oea_miscalibrated,5,0.126537,-2.3664,0.5125,0.0375
0,oea_miscalibrated,6,0.183167,-2.2698,0.475,0.05
0,oea_miscalibrated,7,0.245209,-2.1762,0.525,0.0625
0,oea_miscalibrated,8,0.253209,-2.165,0.1,0.025
0,oea_miscalibrated,9,0.319042,-2.3153,0.55,0.0375
0,oea_miscalibrated,10,0.386749,-2.2462,0.525,0.0375
1,control,0,0.0,-3.7085,0.625,0.0625
1,control,1,0.0264,-3.3676,0.75,0.05
1,control,2,0.052483,-2.979,0.6,0.0625
1,control,3,0.072838,-2.5009,0.6125,0.075
1,control,4,0.097362,-2.0182,0.4875,0.0875
1,control,5,0.145275,-1.8372,0.6125,0.05
1,control,6,0.208106,-1.4681,0.5,0.025
1,control,7,0.279356,-1.168,0.5,0.05
1,control,8,0.346679,-0.855,0.65,0.05
1,control,9,0.395582,-0.5641,0.675,0.0375
1,control,10,0.425309,-0.452,0.625,0.025
1,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
1,oea_rag_only,1,0.038541,-3.4535,0.7375,0.0875
1,oea_rag_only,2,0.070272,-3.0869,0.625,0.0875
1,oea_rag_only,3,0.094225,-2.6422,0.425,0.075
1,oea_rag_only,4,0.133892,-1.7586,0.275,0.0625
1,oea_rag_only,5,0.20268,-1.1712,0.275,0.0625
1,oea_rag_only,6,0.290029,-0.8367,0.275,0.0625
1,oea_rag_only,7,0.387204,-0.1822,0.275,0.0625
1,oea_rag_only,8,0.483915,-0.0701,0.275,0.0625
1,oea_rag_only,9,0.55025,-0.0701,0.275,0.0625
1,oea_rag_only,10,0.587526,-0.0701,0.275,0.0625
1,oea_anchored,0,0.0,-3.7085,0.625,0.0625
1,oea_anchored,1,0.005157,-3.997,0.8625,0.0375
1,oea_anchored,2,0.01839,-3.2205,0.7125,0.05
1,oea_anchored,3,0.039984,-2.4838,0.7875,0.025
1,oea_anchored,4,0.06056,-1.5373,0.55,0.025
1,oea_anchored,5,0.088456,-0.7322,0.4,0.0625
1,oea_anchored,6,0.138778,-0.4556,0.6625,0.0375
1,oea_anchored,7,0.212275,-0.4719,0.425,0.025
1,oea_anchored,8,0.28668,-0.4833,0.6625,0.0375
1,oea_anchored,9,0.34921,-0.4382,0.7625,0.025
1,oea_anchored,10,0.405481,-0.4893,0.675,0.025
1,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
1,oea_miscalibrated,1,0.038541,-3.4535,0.7375,0.0875
1,oea_miscalibrated,2,0.067564,-3.1292,0.6,0.05
1,oea_miscalibrated,3,0.091398,-2.7835,0.4125,0.0875
1,oea_miscalibrated,4,0.108874,-2.3339,0.575,0.0375
1,oea_miscalibrated,5,0.154313,-2.0881,0.525,0.0625
1,oea_miscalibrated,6,0.219328,-1.8605,0.5375,0.0375
1,oea_miscalibrated,7,0.2843,-1.3664,0.3375,0.025
1,oea_miscalibrated,8,0.351436,-1.0277,0.5125,0.0625
1,oea_miscalibrated,9,0.392404,-0.5608,0.65,0.075
1,oea_miscalibrated,10,0.414536,-0.3636,0.3375,0.025
2,control,0,0.0,-3.7085,0.625,0.0625
2,control,1,0.034243,-3.374,0.675,0.0625
2,control,2,0.06258,-2.7275,0.5,0.075
2,control,3,0.08741,-2.3701,0.5125,0.075
2,control,4,0.109595,-1.7601,0.725,0.025
2,control,5,0.161169,-1.4371,0.75,0.0375
2,control,6,0.222929,-1.435,0.5,0.1
2,control,7,0.262062,-1.3777,0.0875,0.025
2,control,8,0.328751,-1.5567,0.15,0.0
2,control,9,0.390564,-1.9536,0.5625,0.0375
2,control,10,0.397668,-2.0501,0.375,0.05
2,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
2,oea_rag_only,1,0.027202,-3.3897,0.625,0.025
2,oea_rag_only,2,0.059671,-3.0642,0.7125,0.0375
2,oea_rag_only,3,0.0858,-2.7275,0.6875,0.0375
2,oea_rag_only,4,0.10663,-2.3795,0.5875,0.0625
2,oea_rag_only,5,0.149757,-2.0815,0.5,0.025
2,oea_rag_only,6,0.216058,-1.6774,0.45,0.0875
2,oea_rag_only,7,0.281736,-1.5177,0.45,0.05
2,oea_rag_only,8,0.341993,-1.4982,0.4375,0.0875
2,oea_rag_only,9,0.381217,-1.4127,0.5375,0.025
2,oea_rag_only,10,0.403812,-1.4431,0.375,0.025
