seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
0,control,0,0.0,-3.3591,0.65,0.05
0,control,1,0.029289,-3.1248,0.7,0.025
0,control,2,0.061895,-2.8188,0.275,0.0625
0,control,3,0.083277,-2.4628,0.8,0.025
0,control,4,0.10205,-2.2551,0.8,0.05
0,control,5,0.142786,-2.1446,0.6875,0.0375
0,control,6,0.203082,-2.0459,0.6625,0.0875
0,control,7,0.256957,-1.9978,0.75,0.025
0,control,8,0.320902,-1.9874,0.7875,0.025
0,control,9,0.360444,-1.8762,0.7,0.075
0,control,10,0.361794,-1.8169,0.7625,0.05
0,oea_rag_only,0,0.0,-3.3591,0.65,0.05
0,oea_rag_only,1,0.034133,-3.1586,0.65,0.05
0,oea_rag_only,2,0.060905,-2.7267,0.475,0.0375
0,oea_rag_only,3,0.088435,-2.2528,0.725,0.075
0,oea_rag_only,4,0.109455,-1.9189,0.6125,0.075
0,oea_rag_only,5,0.158115,-1.7396,0.6375,0.025
0,oea_rag_only,6,0.22152,-1.8563,0.7,0.075
0,oea_rag_only,7,0.281216,-2.0756,0.725,0.0875
0,oea_rag_only,8,0.348721,-2.2287,0.6375,0.0625
0,oea_rag_only,9,0.378436,-2.3334,0.575,0.0625
0,oea_rag_only,10,0.380704,-2.3189,0.6625,0.0375
0,oea_anchored,0,0.0,-3.3591,0.65,0.05
0,oea_anchored,1,0.00542,-3.5762,0.5875,0.025
0,oea_anchored,2,0.02551,-3.0404,0.5875,0.025
0,oea_anchored,3,0.049782,-2.5615,0.45,0.025
0,oea_anchored,4,0.071944,-1.9131,0.5875,0.05
0,oea_anchored,5,0.092534,-1.2181,0.5,0.05
0,oea_anchored,6,0.125701,-0.7812,0.2875,0.0
0,oea_anchored,7,0.201353,-0.6307,0.175,0.0
0,oea_anchored,8,0.28759,-0.5369,0.175,0.0
0,oea_anchored,9,0.37501,-0.2904,0.175,0.0
0,oea_anchored,10,0.46662,-0.0673,0.175,0.0
0,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
0,oea_miscalibrated,1,0.031917,-3.1908,0.6125,0.05
0,oea_miscalibrated,2,0.053984,-3.0119,0.675,0.0625
0,oea_miscalibrated,3,0.069647,-2.6395,0.6875,0.0625
0,oea_miscalibrated,4,0.087764,-2.3291,0.75,0.0625
0,oea_miscalibrated,5,0.112951,-2.346,0.75,0.0625
0,oea_miscalibrated,6,0.157106,-2.2526,0.7125,0.0375
0,oea_miscalibrated,7,0.204079,-2.342,0.5875,0.0625
0,oea_miscalibrated,8,0.261831,-2.5226,0.65,0.0625
0,oea_miscalibrated,9,0.295361,-2.4533,0.7125,0.025
0,oea_miscalibrated,10,0.296321,-2.5185,0.6125,0.075
1,control,0,0.0,-3.3591,0.65,0.05
1,control,1,0.029481,-3.1397,0.7375,0.0375
1,control,2,0.05818,-2.8882,0.75,0.025
1,control,3,0.086475,-2.5414,0.75,0.0625
1,control,4,0.1043,-2.2253,0.7375,0.025
1,control,5,0.148098,-2.168,0.6875,0.0875
1,control,6,0.206966,-2.1427,0.675,0.05
1,control,7,0.270967,-2.1682,0.7,0.0375
1,control,8,0.323674,-2.1304,0.6875,0.075
1,control,9,0.35024,-2.1874,0.75,0.0375
1,control,10,0.354691,-2.2052,0.6625,0.05
1,oea_rag_only,0,0.0,-3.3591,0.65,0.05
1,oea_rag_only,1,0.033307,-3.1621,0.5875,0.0375
1,oea_rag_only,2,0.064219,-2.8438,0.7375,0.025
1,oea_rag_only,3,0.086717,-2.4877,0.4875,0.025
1,oea_rag_only,4,0.104692,-2.1106,0.425,0.0875
1,oea_rag_only,5,0.146829,-2.0389,0.625,0.0625
1,oea_rag_only,6,0.204011,-2.2428,0.575,0.1
1,oea_rag_only,7,0.263959,-2.2929,0.6,0.0625
1,oea_rag_only,8,0.319851,-2.3697,0.5875,0.05
1,oea_rag_only,9,0.347638,-2.3219,0.75,0.025
1,oea_rag_only,10,0.35301,-1.9054,0.5875,0.0375
1,oea_anchored,0,0.0,-3.3591,0.65,0.05
1,oea_anchored,1,0.006278,-3.502,0.7625,0.05
1,oea_anchored,2,0.021156,-3.274,0.725,0.0375
1,oea_anchored,3,0.040036,-2.7136,0.5875,0.025
1,oea_anchored,4,0.062644,-1.9952,0.4125,0.025
1,oea_anchored,5,0.083575,-1.3513,0.6625,0.025
1,oea_anchored,6,0.138532,-0.9645,0.625,0.05
1,oea_anchored,7,0.203098,-0.5275,0.65,0.0375
1,oea_anchored,8,0.278811,-0.5634,0.6125,0.0375
1,oea_anchored,9,0.350345,-0.5052,0.6625,0.0375
1,oea_anchored,10,0.416488,-0.5086,0.3875,0.0125
1,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
1,oea_miscalibrated,1,0.027285,-3.184,0.625,0.075
1,oea_miscalibrated,2,0.056378,-3.0045,0.7,0.0125
1,oea_miscalibrated,3,0.082668,-2.6462,0.75,0.05
1,oea_miscalibrated,4,0.102172,-2.3728,0.5125,0.05
1,oea_miscalibrated,5,0.148473,-2.3858,0.6625,0.0625
1,oea_miscalibrated,6,0.211599,-2.44,0.6375,0.1
1,oea_miscalibrated,7,0.265032,-2.5753,0.825,0.0375
1,oea_miscalibrated,8,0.329492,-2.6256,0.4625,0.075
1,oea_miscalibrated,9,0.359148,-2.723,0.4875,0.05
1,oea_miscalibrated,10,0.371537,-2.6413,0.6625,0.075
2,control,0,0.0,-3.3591,0.65,0.05
2,control,1,0.031614,-3.082,0.3375,0.0625
2,control,2,0.062138,-2.79,0.625,0.0875
2,control,3,0.08262,-2.4415,0.725,0.05
2,control,4,0.100511,-2.0984,0.625,0.05
2,control,5,0.141996,-2.1474,0.6,0.1
2,control,6,0.1983,-2.2541,0.6125,0.05
2,control,7,0.257389,-2.1534,0.5125,0.0875
2,control,8,0.315101,-2.1049,0.7,0.075
2,control,9,0.345124,-1.9476,0.5625,0.0625
2,control,10,0.357357,-1.8809,0.6375,0.0375
2,oea_rag_only,0,0.0,-3.3591,0.65,0.05
2,oea_rag_only,1,0.032049,-3.1813,0.6875,0.0375
2,oea_rag_only,2,0.061761,-3.0525,0.65,0.0375
2,oea_rag_only,3,0.086077,-2.7005,0.675,0.0375
2,oea_rag_only,4,0.104033,-2.3029,0.5,0.1
2,oea_rag_only,5,0.149632,-2.144,0.5375,0.075
2,oea_rag_only,6,0.214713,-1.9588,0.6375,0.075
2,oea_rag_only,7,0.278992,-1.8992,0.75,0.05
2,oea_rag_only,8,0.346612,-1.8506,0.7625,0.0875
2,oea_rag_only,9,0.384731,-1.6776,0.7375,0.075
2,oea_rag_only,10,0.40882,-1.2858,0.725,0.0125
2,oea_anchored,0,0.0,-3.3591,0.65,0.05
2,oea_anchored,1,0.005803,-3.5775,0.4375,0.0375
2,oea_anchored,2,0.019954,-3.2042,0.8,0.0625
2,oea_anchored,3,0.044787,-2.6345,0.2,0.025
2,oea_anchored,4,0.07071,-1.8172,0.1125,0.025
2,oea_anchored,5,0.101199,-1.143,0.1125,0.025
2,oea_anchored,6,0.173499,-0.2667,0.1125,0.025
2,oea_anchored,7,0.252869,-0.1545,0.1125,0.025
2,oea_anchored,8,0.33509,-0.1218,0.1125,0.025
2,oea_anchored,9,0.427949,-0.1218,0.1125,0.025
2,oea_anchored,10,0.488729,-0.1218,0.1125,0.025
2,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
2,oea_miscalibrated,1,0.032049,-3.1813,0.6875,0.0375
2,oea_miscalibrated,2,0.061761,-3.0525,0.65,0.0375
2,oea_miscalibrated,3,0.081893,-2.7973,0.55,0.075
2,oea_miscalibrated,4,0.103773,-2.5379,0.725,0.0375
2,oea_miscalibrated,5,0.151239,-2.4661,0.1875,0.0
2,oea_miscalibrated,6,0.210443,-2.3869,0.4625,0.025
2,oea_miscalibrated,7,0.267681,-2.4056,0.475,0.05
2,oea_miscalibrated,8,0.325927,-2.4439,0.8125,0.0375
