seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
0,control,0,0.0,-3.9376,0.525,0.1125
0,control,1,0.035912,-3.6737,0.525,0.075
0,control,2,0.056619,-3.3262,0.4,0.025
0,control,3,0.077652,-2.6626,0.4625,0.0875
0,control,4,0.094875,-2.0673,0.5625,0.0875
0,control,5,0.137111,-1.5518,0.5,0.075
0,oea_rag_only,0,0.0,-3.9376,0.525,0.1125
0,oea_rag_only,1,0.012365,-3.3454,0.5875,0.125
0,oea_rag_only,2,0.026974,-2.5069,0.4625,0.0375
0,oea_rag_only,3,0.044842,-1.6785,0.4625,0.025
0,oea_rag_only,4,0.065237,-1.4726,0.5625,0.075
0,oea_rag_only,5,0.115416,-1.5164,0.4625,0.125
0,oea_anchored,0,0.0,-3.9376,0.525,0.1125
0,oea_anchored,1,0.014166,-3.3971,0.5375,0.0875
0,oea_anchored,2,0.038766,-2.5325,0.3875,0.0625
0,oea_anchored,3,0.063308,-1.6626,0.3625,0.0
0,oea_anchored,4,0.083916,-0.6835,0.3875,0.025
0,oea_anchored,5,0.132422,-0.6474,0.575,0.075
0,oea_miscalibrated,0,0.0,-3.9376,0.525,0.1125
0,oea_miscalibrated,1,0.024723,-3.4999,0.5125,0.1
0,oea_miscalibrated,2,0.054906,-3.2177,0.1625,0.025
0,oea_miscalibrated,3,0.083092,-2.8578,0.0375,0.0
0,oea_miscalibrated,4,0.106099,-2.6867,0.2,0.0375
0,oea_miscalibrated,5,0.147071,-2.6136,0.4125,0.1125
1,control,0,0.0,-3.9376,0.525,0.1125
1,control,1,0.029087,-3.588,0.6125,0.0875
1,control,2,0.051921,-3.2364,0.575,0.1625
1,control,3,0.073229,-2.8134,0.55,0.0875
1,control,4,0.090341,-2.309,0.6,0.075
1,control,5,0.13255,-1.8113,0.575,0.0875
1,oea_rag_only,0,0.0,-3.9376,0.525,0.1125
1,oea_rag_only,1,0.011394,-3.3319,0.5875,0.125
1,oea_rag_only,2,0.025937,-2.578,0.5625,0.125
1,oea_rag_only,3,0.048127,-1.7334,0.3625,0.0125
1,oea_rag_only,4,0.066254,-2.0803,0.5125,0.05
1,oea_rag_only,5,0.113058,-2.1965,0.45,0.1125
1,oea_anchored,0,0.0,-3.9376,0.525,0.1125
1,oea_anchored,1,0.008129,-3.3148,0.5625,0.125
1,oea_anchored,2,0.019927,-2.5395,0.7,0.075
1,oea_anchored,3,0.033981,-1.6309,0.65,0.1125
1,oea_anchored,4,0.046562,-1.6323,0.625,0.075
1,oea_anchored,5,0.065089,-1.9206,0.275,0.0375
1,oea_miscalibrated,0,0.0,-3.9376,0.525,0.1125
1,oea_miscalibrated,1,0.0235,-3.4745,0.5125,0.075
1,oea_miscalibrated,2,0.048675,-2.6507,0.4875,0.075
1,oea_miscalibrated,3,0.06872,-1.7189,0.3875,0.05
1,oea_miscalibrated,4,0.08473,-1.5146,0.425,0.1125
1,oea_miscalibrated,5,0.133792,-1.9114,0.425,0.0875
2,control,0,0.0,-3.9376,0.525,0.1125
2,control,1,0.029723,-3.4745,0.1875,0.0
2,control,2,0.048968,-3.1799,0.5375,0.075
2,control,3,0.068284,-2.3595,0.5375,0.0625
2,control,4,0.087663,-1.5201,0.2,0.0
2,control,5,0.134732,-1.083,0.475,0.1
2,oea_rag_only,0,0.0,-3.9376,0.525,0.1125
2,oea_rag_only,1,0.012488,-3.3465,0.575,0.0875
2,oea_rag_only,2,0.029772,-2.5238,0.5,0.075
2,oea_rag_only,3,0.047045,-1.6426,0.525,0.1
2,oea_rag_only,4,0.063446,-1.8125,0.7,0.1375
2,oea_rag_only,5,0.10616,-2.2311,0.5875,0.1
2,oea_anchored,0,0.0,-3.9376,0.525,0.1125
2,oea_anchored,1,0.009986,-3.4367,0.2,0.0625
2,oea_anchored,2,0.040455,-2.587,0.1,0.025
2,oea_anchored,3,0.072649,-1.6852,0.2625,0.0375
2,oea_anchored,4,0.100068,-1.2039,0.4875,0.1375
2,oea_anchored,5,0.156297,-0.3608,0.2625,0.025
2,oea_miscalibrated,0,0.0,-3.9376,0.525,0.1125
2,oea_miscalibrated,1,0.020463,-3.4858,0.55,0.0875
2,oea_miscalibrated,2,0.047227,-3.1975,0.5625,0.0875
2,oea_miscalibrated,3,0.065069,-2.7747,0.525,0.1125
2,oea_miscalibrated,4,0.082476,-3.018,0.6125,0.1125
2,oea_miscalibrated,5,0.127644,-2.4829,0.6,0.1125
3,control,0,0.0,-3.9376,0.525,0.1125
3,control,1,0.034492,-3.6087,0.4875,0.15
3,control,2,0.054725,-3.1996,0.5,0.0
3,control,3,0.078389,-2.7599,0.575,0.075
3,control,4,0.09445,-2.2304,0.5625,0.1125
3,control,5,0.141804,-1.7383,0.525,0.1375
3,oea_rag_only,0,0.0,-3.9376,0.525,0.1125
3,oea_rag_only,1,0.012365,-3.3454,0.5875,0.125
3,oea_rag_only,2,0.028872,-2.5149,0.5,0.1125
3,oea_rag_only,3,0.046515,-1.69,0.5875,0.1125
3,oea_rag_only,4,0.066474,-1.9537,0.425,0.1625
3,oea_rag_only,5,0.118923,-2.2378,0.0375,0.0
3,oea_anchored,0,0.0,-3.9376,0.525,0.1125
