seed,mode,kld_seed_to_iter10,jsd_seed_to_iter10,stability_score
1,control,1.0362673085148562,0.063410193965127,0.936589806034873
1,oea,0.06613549207329805,0.013880465339193621,0.9861195346608064
2,control,3.8060827506925374,0.14357289015077648,0.8564271098492235
2,oea,0.01848664986803615,0.004448226121591218,0.9955517738784088
3,control,4.994313997276042,0.17645158870123073,0.8235484112987692
3,oea,0.6140430068682561,0.03201660620804153,0.9679833937919584
4,control,3.972906360550391,0.19470049414056814,0.8052995058594319
4,oea,0.07714294736093373,0.01940758020969323,0.9805924197903068
5,control,4.209344719026875,0.13588176090091839,0.8641182390990816
5,oea,0.03889865198883038,0.010027601506337455,0.9899723984936626
6,control,1.5165216952363059,0.15376948043080033,0.8462305195691997
6,oea,0.08558702909643931,0.021923074223498852,0.9780769257765012
7,control,4.2653136345366525,0.16983060901221064,0.8301693909877894
7,oea,0.049200659484253395,0.011663006711312637,0.9883369932886874
8,control,3.7077239522280636,0.16969164091066286,0.8303083590893372
8,oea,0.07236632516691091,0.018121527694380538,0.9818784723056194
9,control,1.7884889654508895,0.09346001439909488,0.9065399856009051
9,oea,0.32666109177017444,0.0183541474642556,0.9816458525357444
10,control,3.9762118429264737,0.13512439263620352,0.8648756073637964
10,oea,0.12771604984919993,0.02205291771306639,0.9779470822869336
11,control,6.2941998632131595,0.21602365847769794,0.783976341522302
11,oea,0.8367101983881589,0.03086104366829171,0.9691389563317083
12,control,0.807331967504623,0.07924369030054354,0.9207563096994564
12,oea,0.05056836082539389,0.011215513282127975,0.988784486717872
13,control,2.1130131166646158,0.1339913601748201,0.8660086398251798
13,oea,0.10696940342930739,0.026897736762374308,0.9731022632376257
14,control,2.642379771664753,0.19421044025739884,0.8057895597426011
14,oea,0.14757810067328428,0.019587530702556435,0.9804124692974435
15,control,3.544014628792636,0.13663602664804547,0.8633639733519545
15,oea,0.2833678816470851,0.013615523709556992,0.986384476290443
16,control,2.036732456568275,0.13146931205739454,0.8685306879426055
16,oea,0.02165481513480815,0.005164896447464517,0.9948351035525355
17,control,1.6975791134852627,0.13398551729905286,0.8660144827009472
17,oea,0.5964314250879138,0.023431908756818092,0.9765680912431819
18,control,2.881053118852848,0.11417260586653254,0.8858273941334674
18,oea,0.4642709350942606,0.02592440176641568,0.9740755982335844
19,control,1.223267208600212,0.10564191481808022,0.8943580851819197
19,oea,0.6045046149603218,0.023829147261611634,0.9761708527383883
20,control,0.889049414633133,0.08817492401046359,0.9118250759895364
20,oea,0.17702794061092905,0.025592664829564946,0.9744073351704351
21,control,2.941680130433915,0.2433256335947916,0.7566743664052085
21,oea,0.04397060931872459,0.01020486558746039,0.9897951344125396
22,control,2.82100307433622,0.17526326977093137,0.8247367302290687
22,oea,0.8769928244233786,0.036159837287848634,0.9638401627121513
23,control,1.1468226695131243,0.0513653985081369,0.9486346014918631
23,oea,1.0644115609354845,0.03061628603570942,0.9693837139642906
24,control,5.380480708399127,0.220708356799995,0.779291643200005
24,oea,0.727249017617229,0.029039671788580485,0.9709603282114195
25,control,0.8634886914919664,0.07451002183759683,0.9254899781624032
25,oea,0.03654836144087919,0.008623356821080412,0.9913766431789196
26,control,2.8147797858171324,0.12968189023089755,0.8703181097691024
26,oea,0.4402786063697291,0.021213554428377877,0.9787864455716221
27,control,1.430136720164607,0.06349292906654598,0.936507070933454
27,oea,0.02958747539164392,0.006931808456369746,0.9930681915436302
28,control,0.7450893296536176,0.15507129446559492,0.844928705534405
28,oea,0.07101561594955388,0.017823933176875778,0.9821760668231242
29,control,2.9050064721403,0.25257540956018154,0.7474245904398185
29,oea,0.08352002345099893,0.018284588205384037,0.981715411794616
30,control,1.3579842290630237,0.05694027113449526,0.9430597288655047
30,oea,0.4819929239082021,0.017172257000272254,0.9828277429997277
